lccn/sn91068765/1918-05-10,2,11,5,6
lccn/sn99063952/1888-03-06,1,1,3,-2
lccn/sn91068748/1922-03-24,1,2,3,-1
lccn/sn91068748/1922-04-14,2,7,5,2
lccn/sn91068748/1920-03-12,1,8,11,-3
lccn/sn99063952/1889-10-22,1,5,10,-5
lccn/sn84020751/1904-08-25,2,4,1,3
lccn/sn85038615/1911-01-29,1,4,14,-10
lccn/sn85038615/1911-04-01,2,8,6,2
lccn/sn84026561/1862-02-05,1,9,14,-5
lccn/sn84036012/1895-01-13,2,10,8,2
lccn/sn99063957/1914-05-02,1,1,3,-2
lccn/sn99063957/1914-05-05,2,9,5,4
lccn/sn99063957/1914-02-06,2,19,4,15
lccn/sn99063957/1913-09-29,2,24,8,16
lccn/sn91068748/1919-03-07,2,5,1,4
lccn/sn99063957/1914-03-20,2,10,8,2
lccn/sn99063957/1915-03-10,1,1,6,-5
lccn/sn99063957/1915-03-13,2,13,11,2
lccn/sn99063957/1914-10-06,2,9,2,7
lccn/sn83045211/1920-07-08,2,2,1,1
lccn/sn83045211/1920-10-15,2,15,9,6
lccn/sn87078000/1893-06-27,2,8,7,1
lccn/sn87078000/1891-12-01,1,8,13,-5
lccn/sn87078000/1891-12-12,2,8,6,2
lccn/sn85058130/1885-10-22,1,4,4,0
lccn/sn85058130/1885-11-18,1,3,6,-3
lccn/sn85058130/1885-05-16,2,16,12,4
lccn/sn85058130/1885-05-26,2,13,8,5
lccn/sn85058130/1885-05-27,2,7,6,1
lccn/sn85058130/1885-05-28,2,13,5,8
lccn/sn85058130/1885-05-29,2,10,1,9
lccn/sn85058130/1885-05-31,2,11,1,10
lccn/sn85058130/1885-06-04,2,11,1,10
lccn/sn85058130/1885-06-09,2,8,2,6
lccn/sn85058130/1885-06-12,2,8,1,7
lccn/sn85058130/1885-06-13,2,8,1,7
lccn/sn85058130/1885-06-16,2,9,1,8
lccn/sn85058130/1885-12-19,2,8,3,5
lccn/sn85058130/1885-12-22,2,10,4,6
lccn/sn85058130/1885-12-30,2,7,2,5
lccn/sn85058130/1885-12-31,2,8,2,6
lccn/sn85058130/1882-10-08,2,16,10,6
lccn/sn83025316/1917-06-03,2,8,3,5
lccn/sn85053040/1885-09-12,2,6,4,2
lccn/sn90052434/1852-08-14,1,2,2,0
lccn/sn90052434/1853-12-17,2,8,0,8
lccn/sn90052434/1854-01-07,2,8,5,3
